het,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
1,88.6,168.8,64.1,2548,4,130,111,21,27,13495
1,88.6,168.8,64.1,2548,4,130,111,21,27,16500
1,94.5,171.2,65.5,2823,6,152,154,19,26,16500
1,99.8,176.6,66.2,2337,4,109,102,24,30,13950
1,99.4,176.6,66.4,2824,5,136,115,18,22,17450
1,99.8,177.3,66.3,2507,5,136,110,19,25,15250
1,105.8,192.7,71.4,2844,5,136,110,19,25,17710
1,105.8,192.7,71.4,2954,5,136,110,19,25,18920
1,105.8,192.7,71.4,3086,5,131,140,17,20,23875
1,101.2,176.8,64.8,2395,4,108,101,23,29,16430
1,101.2,176.8,64.8,2395,4,108,101,23,29,16925
1,101.2,176.8,64.8,2710,6,164,121,21,28,20970
1,101.2,176.8,64.8,2765,6,164,121,21,28,21105
1,103.5,189,66.9,3055,6,164,121,20,25,24565
1,103.5,189,66.9,3230,6,209,182,16,22,30760
1,103.5,193.8,67.9,3380,6,209,182,16,22,41315
1,110,197,70.9,3505,6,209,182,15,20,36880
1,88.4,141.1,60.3,1488,3,61,48,47,53,5151
1,94.5,155.9,63.6,1874,4,90,70,38,43,6295
1,94.5,158.8,63.6,1909,4,90,70,38,43,6575
1,93.7,157.3,63.8,1876,4,90,68,37,41,5572
1,93.7,157.3,63.8,1876,4,90,68,31,38,6377
1,93.7,157.3,63.8,2128,4,98,102,24,30,7957
1,93.7,157.3,63.8,1967,4,90,68,31,38,6229
1,93.7,157.3,63.8,1989,4,90,68,31,38,6692
1,93.7,157.3,63.8,1989,4,90,68,31,38,7609
1,93.7,157.3,63.8,2191,4,98,102,24,30,8558
1,103.3,174.6,64.6,2535,4,122,88,24,30,8921
1,95.9,173.2,66.3,2811,4,156,145,19,24,12964
1,86.6,144.6,63.9,1713,4,92,58,49,54,6479
1,86.6,144.6,63.9,1819,4,92,76,31,38,6855
1,93.7,150,64,1837,4,79,60,38,42,5399
1,93.7,150,64,1940,4,92,76,30,34,6529
1,93.7,150,64,1956,4,92,76,30,34,7129
1,96.5,163.4,64,2010,4,92,76,30,34,7295
1,96.5,157.1,63.9,2024,4,92,76,30,34,7295
1,96.5,167.5,65.2,2236,4,110,86,27,33,7895
1,96.5,167.5,65.2,2289,4,110,86,27,33,9095
1,96.5,175.4,65.2,2304,4,110,86,27,33,8845
1,96.5,175.4,62.5,2372,4,110,86,27,33,10295
1,96.5,175.4,65.2,2465,4,110,101,24,28,12945
1,96.5,169.1,66,2293,4,110,100,25,31,10345
1,94.3,170.7,61.8,2337,4,111,78,24,29,6785
1,96,172.6,65.2,2734,4,119,90,24,29,11048
1,113,199.6,69.6,4066,6,258,176,15,19,32250
1,113,199.6,69.6,4066,6,258,176,15,19,35550
1,102,191.7,70.6,3950,12,326,262,13,17,36000
1,93.1,159.1,64.2,1890,4,91,68,30,31,5195
1,93.1,159.1,64.2,1900,4,91,68,31,38,6095
1,93.1,159.1,64.2,1905,4,91,68,31,38,6795
1,93.1,166.8,64.2,1945,4,91,68,31,38,6695
1,93.1,166.8,64.2,1950,4,91,68,31,38,7395
1,95.3,169,65.7,2380,2,70,101,17,23,10945
1,95.3,169,65.7,2380,2,70,101,17,23,11845
1,95.3,169,65.7,2385,2,70,101,17,23,13645
1,95.3,169,65.7,2500,2,80,135,16,23,15645
1,98.8,177.8,66.5,2385,4,122,84,26,32,8845
1,98.8,177.8,66.5,2410,4,122,84,26,32,8495
1,98.8,177.8,66.5,2385,4,122,84,26,32,10595
1,98.8,177.8,66.5,2410,4,122,84,26,32,10245
1,98.8,177.8,66.5,2443,4,122,64,36,42,10795
1,98.8,177.8,66.5,2425,4,122,84,26,32,11245
1,104.9,175,66.1,2670,4,140,120,19,27,18280
1,104.9,175,66.1,2700,4,134,72,31,39,18344
1,110,190.9,70.3,3515,5,183,123,22,25,25552
1,110,190.9,70.3,3750,5,183,123,22,25,28248
1,106.7,187.5,70.3,3495,5,183,123,22,25,28176
1,115.6,202.6,71.7,3770,5,183,123,22,25,31600
1,115.6,202.6,71.7,3740,8,234,155,16,18,34184
1,96.6,180.3,70.5,3685,8,234,155,16,18,35056
1,120.9,208.1,71.7,3900,8,308,184,14,16,40960
1,112,199.2,72,3715,8,304,184,14,16,45400
1,102.7,178.4,68,2910,4,140,175,19,24,16503
1,93.7,157.3,64.4,1918,4,92,68,37,41,5389
1,93.7,157.3,64.4,1944,4,92,68,31,38,6189
1,93.7,157.3,64.4,2004,4,92,68,31,38,6669
1,93,157.3,63.8,2145,4,98,102,24,30,7689
1,96.3,173,65.4,2370,4,110,116,23,30,9959
